id,symbol,base,quote,status,contractType,linear,pricePrecision,amountPrecision,minQty,minNotional,tickSize,stepSize
ONEUSDT,ONE/USDT:USDT,ONE,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ONGUSDT,ONG/USDT:USDT,ONG,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
ONTUSDT,ONT/USDT:USDT,ONT,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
OPUSDT,OP/USDT:USDT,OP,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
ORBSUSDT,ORBS/USDT:USDT,ORBS,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ORCAUSDT,ORCA/USDT:USDT,ORCA,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
ORDIUSDC,ORDI/USDC:USDC,ORDI,USDC,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
ORDIUSDT,ORDI/USDT:USDT,ORDI,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
OXTUSDT,OXT/USDT:USDT,OXT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PAXGUSDT,PAXG/USDT:USDT,PAXG,USDT,TRADING,PERPETUAL,True,0.01,0.001,0.001,5.0,0.01,0.001
PENDLEUSDT,PENDLE/USDT:USDT,PENDLE,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
PENGUUSDC,PENGU/USDC:USDC,PENGU,USDC,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
PENGUUSDT,PENGU/USDT:USDT,PENGU,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
PEOPLEUSDT,PEOPLE/USDT:USDT,PEOPLE,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PERPUSDT,PERP/USDT:USDT,PERP,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
PHAUSDT,PHA/USDT:USDT,PHA,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PHBUSDT,PHB/USDT:USDT,PHB,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
PIPPINUSDT,PIPPIN/USDT:USDT,PIPPIN,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PIXELUSDT,PIXEL/USDT:USDT,PIXEL,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
PLAYUSDT,PLAY/USDT:USDT,PLAY,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PLUMEUSDT,PLUME/USDT:USDT,PLUME,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
PNUTUSDC,PNUT/USDC:USDC,PNUT,USDC,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PNUTUSDT,PNUT/USDT:USDT,PNUT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
POLUSDT,POL/USDT:USDT,POL,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
POLYXUSDT,POLYX/USDT:USDT,POLYX,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PONKEUSDT,PONKE/USDT:USDT,PONKE,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
POPCATUSDT,POPCAT/USDT:USDT,POPCAT,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
PORT3USDT,PORT3/USDT:USDT,PORT3,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
PORTALUSDT,PORTAL/USDT:USDT,PORTAL,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
POWRUSDT,POWR/USDT:USDT,POWR,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
PROMUSDT,PROM/USDT:USDT,PROM,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
PROMPTUSDT,PROMPT/USDT:USDT,PROMPT,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
